recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
nandos-portuguese-chicken-and-rice,19,WRITE,label,"2 1/4 cups chicken stock/broth , low sodium",2 1/4 cups,2 1/4 cups,2 1/4,2 1/4,cups,cups,"chicken stock/broth , low sodium","chicken stock/broth, low sodium"
nandos-portuguese-chicken-and-rice,23,WRITE,label,"Green onion , finely sliced",,,,,,,"Green onion , finely sliced","Green onion, finely sliced"
no-knead-bread,3,WRITE,label,very warm tap water (up to 130°F),375 mL,375 mL,375,375,mL,mL,,very warm tap water (up to 130°F)
palak-chicken-recipe-dhaba-style-saag-wala-chicken,2,WRITE,label,"Salt, to taste",,,,,,,,"Salt, to taste"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,3,WRITE,label,Juice of 1 lemon,,,,,,,,Juice of 1 lemon
palak-chicken-recipe-dhaba-style-saag-wala-chicken,8,WRITE,label,A large pinch of salt,,,,,,,,A large pinch of salt
palak-chicken-recipe-dhaba-style-saag-wala-chicken,9,WRITE,label,A pinch of sugar,,,,,,,,A pinch of sugar
palak-chicken-recipe-dhaba-style-saag-wala-chicken,10,WRITE,label,Ice cold water (as needed),,,,,,,,Ice cold water (as needed)
palak-chicken-recipe-dhaba-style-saag-wala-chicken,11,WRITE,label,A handful fresh coriander (with stalks),,,,,,,,A handful fresh coriander (with stalks)
palak-chicken-recipe-dhaba-style-saag-wala-chicken,27,WRITE,label,"Salt, to taste",,,,,,,,"Salt, to taste"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,39,WRITE,label,Juice of 1/2 lemon,,,,,,,,Juice of 1/2 lemon
palak-chicken-recipe-dhaba-style-saag-wala-chicken,40,WRITE,label,A pinch roasted kasuri methi powder,,,,,,,,A pinch roasted kasuri methi powder
